# host=127.0.0.1
# port=8080
# clients=100
# requestsPerClient=20
# warmupDiscarded=20
# elapsedSec=11.189765
# throughput=178.734763
# p50Ms=558
# p95Ms=575
timestamp_ms,client_id,req_index,global_req_no,latency_ms,ok
1771319130579,78,11,1108,561,true
1771319130579,19,11,1107,561,true
1771319130579,93,11,1106,562,true
1771319130643,34,11,1114,577,true
1771319130643,25,11,1113,577,true
1771319130659,70,11,1122,556,true
1771319130659,36,11,1121,560,true
1771319130659,16,11,1119,560,true
1771319130659,59,11,1120,560,true
1771319130659,72,11,1117,561,true
1771319130659,35,11,1118,561,true
1771319130659,55,11,1116,563,true
1771319130659,29,11,1115,563,true
1771319130675,18,11,1125,557,true
1771319130675,57,11,1123,558,true
1771319130675,73,11,1124,558,true
1771319130691,54,11,1132,557,true
1771319130691,71,11,1131,557,true
1771319130691,56,11,1130,557,true
1771319130691,74,11,1129,558,true
1771319130691,5,11,1126,559,true
1771319130691,17,11,1128,559,true
1771319130691,75,11,1127,559,true
1771319130755,77,11,1133,575,true
1771319130755,22,11,1134,576,true
1771319130771,76,11,1142,557,true
1771319130771,32,11,1141,557,true
1771319130771,58,11,1140,558,true
1771319130771,89,11,1139,558,true
1771319130771,90,11,1136,560,true
1771319130771,69,11,1138,558,true
1771319130771,24,11,1137,560,true
1771319130771,10,11,1135,560,true
1771319130787,40,11,1145,558,true
1771319130787,51,11,1144,558,true
1771319130787,8,11,1143,559,true
1771319130803,31,11,1147,559,true
1771319130803,49,11,1149,557,true
1771319130803,61,11,1146,559,true
1771319130803,43,11,1150,557,true
1771319130803,60,11,1151,557,true
1771319130803,66,11,1152,557,true
1771319130803,2,11,1148,557,true
1771319130867,46,11,1154,576,true
1771319130867,3,11,1153,576,true
1771319130883,15,11,1158,560,true
1771319130883,21,11,1155,560,true
1771319130883,48,11,1156,561,true
1771319130883,0,11,1159,559,true
1771319130883,37,11,1160,559,true
1771319130883,23,11,1157,561,true
1771319130883,68,11,1162,559,true
1771319130883,50,11,1161,559,true
1771319130899,62,11,1165,558,true
1771319130899,26,11,1164,559,true
1771319130899,44,11,1163,559,true
1771319130915,79,11,1172,557,true
1771319130915,65,11,1170,557,true
1771319130915,9,11,1171,558,true
1771319130915,39,11,1168,559,true
1771319130915,4,11,1169,560,true
1771319130915,13,11,1166,561,true
1771319130915,7,11,1167,561,true
1771319130978,11,11,1173,574,true
1771319130978,63,11,1174,575,true
1771319130994,95,11,1175,560,true
1771319130994,88,11,1176,558,true
1771319130994,1,11,1177,558,true
1771319130994,41,11,1178,558,true
1771319130994,30,11,1179,557,true
1771319130994,52,11,1180,558,true
1771319130994,80,11,1181,558,true
1771319130994,38,11,1182,558,true
1771319131010,96,11,1185,557,true
1771319131010,91,11,1184,558,true
1771319131010,6,11,1183,558,true
1771319131026,47,11,1192,558,true
1771319131026,20,11,1191,558,true
1771319131026,94,11,1190,558,true
1771319131026,64,11,1189,558,true
1771319131026,45,11,1188,559,true
1771319131026,87,11,1187,559,true
1771319131026,86,11,1186,559,true
1771319131085,83,11,1194,569,true
1771319131085,97,11,1193,569,true
1771319131099,82,11,1195,551,true
1771319131099,42,11,1196,551,true
